,P_grid,P_wind,P_pv,P_b,P_ele,P_pro,soc,Mh2,price_grid,expenditure,accumulated_ex
0,-55.82949247838117,69.44439050443711,0.0,0,2.5,0.8,0,0,33.1,-261.1211507245199,-261.1211507245199
1,-55.82949247838117,69.44439050443711,0.0,0,2.5,0.8,0,0,33.1,-261.1211507245199,-522.2423014490398
2,-55.82949247838117,69.44439050443711,0.0,0,2.5,0.8,0,0,33.1,-261.1211507245199,-783.3634521735597
3,-55.82949247838117,69.44439050443711,0.0,0,2.5,0.8,0,0,33.1,-261.1211507245199,-1044.4846028980796
4,-52.7952687254855,66.26851399626177,0.0,0,2.5,0.8,0,0,32.28,-234.3761418804808,-1278.8607447785605
5,-52.7952687254855,66.26851399626177,0.0,0,2.5,0.8,0,0,32.28,-234.3761418804808,-1513.2368866590414
6,-52.7952687254855,66.26851399626177,0.0,0,2.5,0.8,0,0,32.28,-234.3761418804808,-1747.6130285395222
7,-52.7952687254855,66.26851399626177,0.0,0,2.5,0.8,0,0,32.28,-234.3761418804808,-1981.9891704200027
8,-50.01936758371523,63.36930930564914,0.0,0,2.5,0.8,0,0,31.18,-206.60524314847007,-2188.5944135684726
9,-50.01936758371523,63.36930930564914,0.0,0,2.5,0.8,0,0,31.18,-206.60524314847007,-2395.1996567169426
10,-50.01936758371523,63.36930930564914,0.0,0,2.5,0.8,0,0,31.18,-206.60524314847007,-2601.8048998654126
11,-50.01936758371523,63.36930930564914,0.0,0,2.5,0.8,0,0,31.18,-206.60524314847007,-2808.4101430138826
12,-47.15402706574206,60.38290433695693,0.0,0,2.5,0.8,0,0,30.1,-180.17650287506112,-2988.5866458889436
13,-47.15402706574206,60.38290433695693,0.0,0,2.5,0.8,0,0,30.1,-180.17650287506112,-3168.7631487640047
14,-47.15402706574206,60.38290433695693,0.0,0,2.5,0.8,0,0,30.1,-180.17650287506112,-3348.9396516390657
15,-47.15402706574206,60.38290433695693,0.0,0,2.5,0.8,0,0,30.1,-180.17650287506112,-3529.1161545141276
16,-46.327640386727744,59.52276202616582,0.0,0,2.5,0.8,0,0,29.96,-174.8244373359062,-3703.940591850034
17,-46.327640386727744,59.52276202616582,0.0,0,2.5,0.8,0,0,29.96,-174.8244373359062,-3878.76502918594
18,-46.327640386727744,59.52276202616582,0.0,0,2.5,0.8,0,0,29.96,-174.8244373359062,-4053.589466521846
19,-46.327640386727744,59.52276202616582,0.0,0,2.5,0.8,0,0,29.96,-174.8244373359062,-4228.413903857752
20,-45.50858502142814,58.5014215617797,0.1663701779918067,0,2.5,0.8,0,0,29.88,-170.01172167013598,-4398.425625527888
21,-45.50858502142814,58.5014215617797,0.1663701779918067,0,2.5,0.8,0,0,29.88,-170.01172167013598,-4568.437347198023
22,-45.50858502142814,58.5014215617797,0.1663701779918067,0,2.5,0.8,0,0,29.88,-170.01172167013598,-4738.449068868159
23,-45.50858502142814,58.5014215617797,0.1663701779918067,0,2.5,0.8,0,0,29.88,-170.01172167013598,-4908.460790538296
24,-47.49683031887122,57.65928360026247,3.0283827190564803,0,2.5,0.8,0,0,30.38,-180.81576745736257,-5089.276557995659
25,-47.49683031887122,57.65928360026247,3.0283827190564803,0,2.5,0.8,0,0,30.38,-180.81576745736257,-5270.092325453021
26,-47.49683031887122,57.65928360026247,3.0283827190564803,0,2.5,0.8,0,0,30.38,-180.81576745736257,-5450.908092910383
27,-47.49683031887122,57.65928360026247,3.0283827190564803,0,2.5,0.8,0,0,30.38,-180.81576745736257,-5631.723860367745
28,-51.93580770802809,57.49183176814698,7.749385004055265,0,2.5,0.8,0,0,31.15,-204.52264821930376,-5836.246508587049
29,-51.93580770802809,57.49183176814698,7.749385004055265,0,2.5,0.8,0,0,31.15,-204.52264821930376,-6040.769156806353
30,-51.93580770802809,57.49183176814698,7.749385004055265,0,2.5,0.8,0,0,31.15,-204.52264821930376,-6245.291805025657
31,-51.93580770802809,57.49183176814698,7.749385004055265,0,2.5,0.8,0,0,31.15,-204.52264821930376,-6449.814453244961
32,-38.566979720811524,57.32470445498425,9.328216262392168,0,13.791666666666666,0.8,0,0,32.09,-103.10742859538657,-6552.921881840348
33,-38.566979720811524,57.32470445498425,9.328216262392168,0,13.791666666666666,0.8,0,0,32.09,-103.10742859538657,-6656.029310435734
34,-38.566979720811524,57.32470445498425,9.328216262392168,0,13.791666666666666,0.8,0,0,32.09,-103.10742859538657,-6759.136739031121
35,-38.566979720811524,57.32470445498425,9.328216262392168,0,13.791666666666666,0.8,0,0,32.09,-103.10742859538657,-6862.244167626507
36,-39.07548643657382,57.15790134601297,10.016974095584297,0,13.791666666666666,0.8,0,0,31.18,-95.79051955491457,-6958.034687181422
37,-39.07548643657382,57.15790134601297,10.016974095584297,0,13.791666666666666,0.8,0,0,31.18,-95.79051955491457,-7053.825206736336
38,-39.07548643657382,57.15790134601297,10.016974095584297,0,13.791666666666666,0.8,0,0,31.18,-95.79051955491457,-7149.615726291251
39,-39.07548643657382,57.15790134601297,10.016974095584297,0,13.791666666666666,0.8,0,0,31.18,-95.79051955491457,-7245.406245846166
40,-49.08459668137554,56.32873784738158,21.208134026993104,0,13.791666666666666,0.8,0,0,31.6,-132.79413788216544,-7378.200383728331
41,-49.08459668137554,56.32873784738158,21.208134026993104,0,13.791666666666666,0.8,0,0,31.6,-132.79413788216544,-7510.994521610496
42,-49.08459668137554,56.32873784738158,21.208134026993104,0,13.791666666666666,0.8,0,0,31.6,-132.79413788216544,-7643.788659492661
43,-49.08459668137554,56.32873784738158,21.208134026993104,0,13.791666666666666,0.8,0,0,31.6,-132.79413788216544,-7776.582797374826
44,-52.44700367255938,55.67121061826505,25.37107468590974,0,13.791666666666666,0.8,0,0,31.55,-142.5363006171322,-7919.119097991958
45,-52.44700367255938,55.67121061826505,25.37107468590974,0,13.791666666666666,0.8,0,0,31.55,-142.5363006171322,-8061.65539860909
46,-52.44700367255938,55.67121061826505,25.37107468590974,0,13.791666666666666,0.8,0,0,31.55,-142.5363006171322,-8204.191699226223
47,-52.44700367255938,55.67121061826505,25.37107468590974,0,13.791666666666666,0.8,0,0,31.55,-142.5363006171322,-8346.727999843355
48,-51.07419943655037,54.85652299416343,24.74912414244806,0,13.791666666666666,0.8,0,0,31.22,-132.55043506343338,-8479.278434906788
49,-51.07419943655037,54.85652299416343,24.74912414244806,0,13.791666666666666,0.8,0,0,31.22,-132.55043506343338,-8611.82886997022
50,-51.07419943655037,54.85652299416343,24.74912414244806,0,13.791666666666666,0.8,0,0,31.22,-132.55043506343338,-8744.379305033654
51,-51.07419943655037,54.85652299416343,24.74912414244806,0,13.791666666666666,0.8,0,0,31.22,-132.55043506343338,-8876.929740097086
52,-46.17419125261832,50.74801096385951,23.73682810155514,0,13.791666666666666,0.8,0,0,30.93,-107.23547818715822,-8984.165218284244
