,Quantfuel,Biogas,Protein,EverFuel,Recycle,Methanol,college,electrolyser,Quantfuel_h2,Methanol_systhesis_h2,EverFuel_h2
78,0.00,2.50,0.80,0.00,3.25,0.70,2,0,0.00,15,0.00
79,0.00,2.50,0.80,0.00,3.25,0.70,2,0,0.00,15,0.00
80,0.00,2.50,0.80,0.00,3.25,0.70,2,0,0.00,15,0.00
81,0.00,2.50,0.80,0.00,3.25,0.70,2,0,0.00,15,0.00
82,0.00,2.50,0.80,0.00,3.25,0.70,2,0,0.00,15,0.00
83,0.00,2.50,0.80,0.00,3.25,0.70,2,0,0.00,15,0.00
84,0.00,2.50,0.80,0.00,3.25,0.70,2,0,0.00,15,0.00
85,0.00,2.50,0.80,0.00,3.25,0.70,2,0,0.00,15,0.00
86,0.00,2.50,0.80,0.00,3.25,0.70,2,0,0.00,15,0.00
87,0.00,2.50,0.80,0.00,3.25,0.70,2,0,0.00,15,0.00
88,0.00,2.50,0.80,0.00,3.25,0.70,2,0,0.00,15,0.00
89,0.00,2.50,0.80,0.00,3.25,0.70,2,0,0.00,15,0.00
90,0.00,2.50,0.80,0.00,3.25,0.70,2,0,0.00,15,0.00
91,0.00,2.50,0.80,0.00,3.25,0.70,2,0,0.00,15,0.00
92,0.00,2.50,0.80,0.00,3.25,0.70,2,0,0.00,15,0.00
93,0.00,2.50,0.80,0.00,3.25,0.70,2,0,0.00,15,0.00
94,0.00,2.50,0.80,0.00,3.25,0.70,2,0,0.00,15,0.00
95,0.00,2.50,0.80,0.00,3.25,0.70,2,0,0.00,15,0.00
