,P_grid,P_wind,P_pv,P_b,P_ele,P_pro,soc,Mh2,price_grid,expenditure,accumulated_ex
0,-55.82949247838117,69.44439050443711,0.0,0,2.5,0.8,0,0,20.11,-79.814873900977,-79.814873900977
1,-55.82949247838117,69.44439050443711,0.0,0,2.5,0.8,0,0,20.11,-79.814873900977,-159.629747801954
2,-55.82949247838117,69.44439050443711,0.0,0,2.5,0.8,0,0,20.11,-79.814873900977,-239.44462170293102
3,-55.82949247838117,69.44439050443711,0.0,0,2.5,0.8,0,0,20.11,-79.814873900977,-319.259495603908
4,-52.7952687254855,66.26851399626177,0.0,0,2.5,0.8,0,0,19.37,-63.97941206897636,-383.23890767288435
5,-52.7952687254855,66.26851399626177,0.0,0,2.5,0.8,0,0,19.37,-63.97941206897636,-447.2183197418607
6,-52.7952687254855,66.26851399626177,0.0,0,2.5,0.8,0,0,19.37,-63.97941206897636,-511.197731810837
7,-52.7952687254855,66.26851399626177,0.0,0,2.5,0.8,0,0,19.37,-63.97941206897636,-575.1771438798135
8,-50.01936758371523,63.36930930564914,0.0,0,2.5,0.8,0,0,18.36,-46.29317004266278,-621.4703139224762
9,-50.01936758371523,63.36930930564914,0.0,0,2.5,0.8,0,0,18.36,-46.29317004266278,-667.7634839651389
10,-50.01936758371523,63.36930930564914,0.0,0,2.5,0.8,0,0,18.36,-46.29317004266278,-714.0566540078016
11,-50.01936758371523,63.36930930564914,0.0,0,2.5,0.8,0,0,18.36,-46.29317004266278,-760.3498240504643
12,-47.15402706574206,60.38290433695693,0.0,0,2.5,0.8,0,0,18.34,-41.54366330177942,-801.8934873522437
13,-47.15402706574206,60.38290433695693,0.0,0,2.5,0.8,0,0,18.34,-41.54366330177942,-843.4371506540231
14,-47.15402706574206,60.38290433695693,0.0,0,2.5,0.8,0,0,18.34,-41.54366330177942,-884.9808139558024
15,-47.15402706574206,60.38290433695693,0.0,0,2.5,0.8,0,0,18.34,-41.54366330177942,-926.5244772575822
16,-46.327640386727744,59.52276202616582,0.0,0,2.5,0.8,0,0,18.16,-38.15789819505932,-964.6823754526415
17,-46.327640386727744,59.52276202616582,0.0,0,2.5,0.8,0,0,18.16,-38.15789819505932,-1002.8402736477008
18,-46.327640386727744,59.52276202616582,0.0,0,2.5,0.8,0,0,18.16,-38.15789819505932,-1040.99817184276
19,-46.327640386727744,59.52276202616582,0.0,0,2.5,0.8,0,0,18.16,-38.15789819505932,-1079.1560700378193
20,-45.50858502142814,58.5014215617797,0.1663701779918067,0,2.5,0.8,0,0,18.66,-42.36014068503003,-1121.5162107228493
21,-45.50858502142814,58.5014215617797,0.1663701779918067,0,2.5,0.8,0,0,18.66,-42.36014068503003,-1163.8763514078794
22,-45.50858502142814,58.5014215617797,0.1663701779918067,0,2.5,0.8,0,0,18.66,-42.36014068503003,-1206.2364920929094
23,-45.50858502142814,58.5014215617797,0.1663701779918067,0,2.5,0.8,0,0,18.66,-42.36014068503003,-1248.5966327779397
24,-47.49683031887122,57.65928360026247,3.0283827190564803,0,2.5,0.8,0,0,17.39,-26.569810996828313,-1275.166443774768
25,-47.49683031887122,57.65928360026247,3.0283827190564803,0,2.5,0.8,0,0,17.39,-26.569810996828313,-1301.7362547715961
26,-47.49683031887122,57.65928360026247,3.0283827190564803,0,2.5,0.8,0,0,17.39,-26.569810996828313,-1328.3060657684243
27,-47.49683031887122,57.65928360026247,3.0283827190564803,0,2.5,0.8,0,0,17.39,-26.569810996828313,-1354.8758767652525
28,-51.93580770802809,57.49183176814698,7.749385004055265,0,2.5,0.8,0,0,18.22,-36.64014980310297,-1391.5160265683555
29,-51.93580770802809,57.49183176814698,7.749385004055265,0,2.5,0.8,0,0,18.22,-36.64014980310297,-1428.1561763714585
30,-51.93580770802809,57.49183176814698,7.749385004055265,0,2.5,0.8,0,0,18.22,-36.64014980310297,-1464.7963261745615
31,-51.93580770802809,57.49183176814698,7.749385004055265,0,2.5,0.8,0,0,18.22,-36.64014980310297,-1501.436475977665
32,-38.566979720811524,57.32470445498425,9.328216262392168,0,13.791666666666666,0.8,0,0,22.1,-6.786396742659726,-1508.2228727203246
33,-38.566979720811524,57.32470445498425,9.328216262392168,0,13.791666666666666,0.8,0,0,22.1,-6.786396742659726,-1515.0092694629843
34,-38.566979720811524,57.32470445498425,9.328216262392168,0,13.791666666666666,0.8,0,0,22.1,-6.786396742659726,-1521.795666205644
35,-38.566979720811524,57.32470445498425,9.328216262392168,0,13.791666666666666,0.8,0,0,22.1,-6.786396742659726,-1528.5820629483037
36,-39.07548643657382,57.15790134601297,10.016974095584297,0,13.791666666666666,0.8,0,0,23.93,-24.966200388624475,-1553.5482633369281
37,-39.07548643657382,57.15790134601297,10.016974095584297,0,13.791666666666666,0.8,0,0,23.93,-24.966200388624475,-1578.5144637255526
38,-39.07548643657382,57.15790134601297,10.016974095584297,0,13.791666666666666,0.8,0,0,23.93,-24.966200388624475,-1603.480664114177
39,-39.07548643657382,57.15790134601297,10.016974095584297,0,13.791666666666666,0.8,0,0,23.93,-24.966200388624475,-1628.4468645028016
40,-49.08459668137554,56.32873784738158,21.208134026993104,0,13.791666666666666,0.8,0,0,24.23,-42.35576849673102,-1670.8026329995328
41,-49.08459668137554,56.32873784738158,21.208134026993104,0,13.791666666666666,0.8,0,0,24.23,-42.35576849673102,-1713.1584014962639
42,-49.08459668137554,56.32873784738158,21.208134026993104,0,13.791666666666666,0.8,0,0,24.23,-42.35576849673102,-1755.514169992995
